name,artist,cover_url,album_url,album_path
Octavarium,Dream-Theater,https://i.scdn.co/image/ab67616d0000b273f58c468c711f44450a87cb42,https://open.spotify.com/album/4v6kYkn7mYjlWS9vONmmCP,metal/Octavarium-Dream-Theater.jpg
Dangerous Ground,H.E.A.T,https://i.scdn.co/image/ab67616d0000b273f2328ca9b43c397e2b833c83,https://open.spotify.com/album/5ghPmOARm9W1mA04erYQfW,metal/Dangerous-Ground-H.E.A.T.jpg
Along Came the Devil,Primal-Fear,https://i.scdn.co/image/ab67616d0000b273577c6d57d6172cf62ee72e9f,https://open.spotify.com/album/17XgA2THnPbYLArrBahaIW,metal/Along-Came-the-Devil-Primal-Fear.jpg
HELLOWEEN,Helloween,https://i.scdn.co/image/ab67616d0000b273c13e0af03a9207cc4d6c7424,https://open.spotify.com/album/6ZOpyAm1HCU9Z0aRSLMPnn,metal/HELLOWEEN-Helloween.jpg
The Inevitable End,Manimal,https://i.scdn.co/image/ab67616d0000b2734206e934617dca3ee39e5fa8,https://open.spotify.com/album/14nCqNpoBt32m822qAyCsI,metal/The-Inevitable-End-Manimal.jpg
The Witch of the North,Burning-Witches,https://i.scdn.co/image/ab67616d0000b273d7e473ff29e4c76f98fcc462,https://open.spotify.com/album/1P6qVXbuLcqJrVZpwoPGkX,metal/The-Witch-of-the-North-Burning-Witches.jpg
Am I Evil?,Diamond-Head,https://i.scdn.co/image/ab67616d0000b2732f730ac5e319ace94749bbcf,https://open.spotify.com/album/3Kq7zsHEu1aueV2ukmjwKA,metal/Am-I-Evil?-Diamond-Head.jpg
Now the Screaming Starts,Bloody-Hammers,https://i.scdn.co/image/ab67616d0000b273bca8edd77040fe9957f6898e,https://open.spotify.com/album/4afU6LdO2FFF1ANLoGBrC8,metal/Now-the-Screaming-Starts-Bloody-Hammers.jpg
End of the Attention Span,Armored-Saint,https://i.scdn.co/image/ab67616d0000b2734d2841a2d0e76b518f93b3dd,https://open.spotify.com/album/5UBB2I0DXxlxGWEgNkx2tH,metal/End-of-the-Attention-Span-Armored-Saint.jpg
Demons Are A Girl's Best Friend,Powerwolf,https://i.scdn.co/image/ab67616d0000b2733eb8ba93ce1077f76eed387e,https://open.spotify.com/album/6SFftjmYjvGAvRa2k8WHWC,metal/Demons-Are-A-Girl's-Best-Friend-Powerwolf.jpg
Heart of the Android,Orden-Ogan,https://i.scdn.co/image/ab67616d0000b2731d4151d5aca554612edd45f9,https://open.spotify.com/album/6wDrfnlSydT3ZPcBjClH0l,metal/Heart-of-the-Android-Orden-Ogan.jpg
Thunder Rising,Brother-Firetribe,https://i.scdn.co/image/ab67616d0000b27370cafb4dd68348c533be8778,https://open.spotify.com/album/3cSc1fjJbqiefgFrxQtvyu,metal/Thunder-Rising-Brother-Firetribe.jpg
Presence of Mind,Dynazty,https://i.scdn.co/image/ab67616d0000b273edfc625def50f1f348a843c2,https://open.spotify.com/album/4j3AXVu1zUsav9FLHJVtxd,metal/Presence-of-Mind-Dynazty.jpg
Zombie Apocalypse,Accept,https://i.scdn.co/image/ab67616d0000b2733942a81e3f7a5da47d7c7b90,https://open.spotify.com/album/5rM4E7AWnDj0exkGHaRK5O,metal/Zombie-Apocalypse-Accept.jpg
Archangel,Amaranthe,https://i.scdn.co/image/ab67616d0000b2737c869b142b42643f56c23dc9,https://open.spotify.com/album/3nwMvp5aCT0IUYXNATk4b2,metal/Archangel-Amaranthe.jpg
From Hell with Love,Beast-In-Black,https://i.scdn.co/image/ab67616d0000b2734959170cc823eeaba14d1430,https://open.spotify.com/album/3aT1PLgA6MomsX7MMlNRHr,metal/From-Hell-with-Love-Beast-In-Black.jpg
Scars (feat. Florestan Durand),LANDMVRKS,https://i.scdn.co/image/ab67616d0000b273342ecc6e100354e57104aa89,https://open.spotify.com/album/0CadOZLD1xFrzYZN8FTHgG,metal/Scars-(feat.-Florestan-Durand)-LANDMVRKS.jpg
Heartless Madness,Dynazty,https://i.scdn.co/image/ab67616d0000b2733615398755b02e0bf500c593,https://open.spotify.com/album/7hi1CYcnOAGlg0lVJCO3Bu,metal/Heartless-Madness-Dynazty.jpg
Party in My Head,Pain,https://i.scdn.co/image/ab67616d0000b2734e4748bda16b21489b1b5f4c,https://open.spotify.com/album/7yiMd6l7NvEbDwgjfImxUp,metal/Party-in-My-Head-Pain.jpg
Dracula,Mystic-Prophecy,https://i.scdn.co/image/ab67616d0000b27349895ed0c38ab356e390432d,https://open.spotify.com/album/3t5R0BXdBbNJuV0xiGo5LM,metal/Dracula-Mystic-Prophecy.jpg
Too Mean to Die,Accept,https://i.scdn.co/image/ab67616d0000b273383c4f17009419914dd35715,https://open.spotify.com/album/5dbzbQ2Lx9oTwSvHyfKheq,metal/Too-Mean-to-Die-Accept.jpg
Wolves in Winter,Demons-&-Wizards,https://i.scdn.co/image/ab67616d0000b273770ea506ee677ce7d95b1a46,https://open.spotify.com/album/0LTwRczEIIffADBJr0VUXU,metal/Wolves-in-Winter-Demons-&-Wizards.jpg
Let Sleeping Corpses Lie,Bloody-Hammers,https://i.scdn.co/image/ab67616d0000b273e6e1e24fab861c220b683457,https://open.spotify.com/album/2DTYFmqQOxZQUSX712BmOg,metal/Let-Sleeping-Corpses-Lie-Bloody-Hammers.jpg
Brother of the Storm,Grand-Magus,https://i.scdn.co/image/ab67616d0000b2739cf8ce3c9591744a57d83016,https://open.spotify.com/album/3lLA3FMglcgPttcLCUEUuU,metal/Brother-of-the-Storm-Grand-Magus.jpg
Viva La Victoria,Eclipse,https://i.scdn.co/image/ab67616d0000b273464c5e28c05d68738d13a8db,https://open.spotify.com/album/22VcmOjOj8Dx7GBcYmFu8A,metal/Viva-La-Victoria-Eclipse.jpg
Catastrophist,Trivium,https://i.scdn.co/image/ab67616d0000b273e38afd93deeac1ee200f6d95,https://open.spotify.com/album/6JT2F5KpNWy8Lg6OJLDXGx,metal/Catastrophist-Trivium.jpg
All for the Kingdom,Grave-Digger,https://i.scdn.co/image/ab67616d0000b2731fbc7c8bcfaf88531f5b8a3a,https://open.spotify.com/album/7BobBJRRrGNVvRRcphMw4j,metal/All-for-the-Kingdom-Grave-Digger.jpg
