album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,energy,key,loudness,modality,valence,speechiness,genre
52Buhte2zLFUEdbQFVsxNd,Happy-Birthday-Kodak,image-data/hip-hop/Happy-Birthday-Kodak-Kodak-Black.jpg,Kodak-Black,4QsB6UnjTmC94jePV5sgC3,"Amber-Rolls-(feat.-Rylo-Rodriguez,-Yo-Gotti-and-Lil-Keed)",55,True,0.794,0.713,8,-4.279,1,0.5870000000000001,0.171,hip-hop
4W8cevma85R6YYeNIdFXWt,Learnalilgivinanlovin,image-data/indie/Learnalilgivinanlovin-Gotye.jpg,Gotye,65Cav1Vxeq9dsEkggb4DL8,Learnalilgivinanlovin,13,False,0.725,0.79,5,-4.502,1,0.6970000000000001,0.0423,indie
68E8KEIn6CawoxJetxyYRl,Onna-Come-Up-(feat.-G-Herbo)-[Remix],image-data/hip-hop/Onna-Come-Up-(feat.-G-Herbo)-[Remix]-Lil-Eazzyy.jpg,Lil-Eazzyy,6bCWyr3C3ngZdwizTYWQTG,Onna-Come-Up-(feat.-G-Herbo)-[Remix],65,True,0.679,0.794,1,-3.985,1,0.698,0.29600000000000004,hip-hop
73I0czjxZIGfvYBpf1j98v,Crickets,image-data/country/Crickets-Joe-Nichols.jpg,Joe-Nichols,43lL05gZ1DqG4YJ74rCPmM,Yeah,58,False,0.40399999999999997,0.845,11,-4.647,1,0.591,0.049,country
3VekjWskUut57hx6W9wqL8,Tragic-Kingdom,image-data/alternative/Tragic-Kingdom-No-Doubt.jpg,No-Doubt,5lWRaa0fBxDE5yU91npPq7,Just-A-Girl,65,False,0.638,0.9059999999999999,2,-4.824,1,0.767,0.0504,alternative
5A7sAUKBDHvRyA5AxkeKAK,Latin-Ala-Lee,image-data/jazz/Latin-Ala-Lee-Peggy-Lee.jpg,Peggy-Lee,0CczH75yFBo53bVqLRvYn4,Till-There-Was-You---Remastered,57,False,0.674,0.195,0,-19.334,1,0.594,0.0341,jazz
4pgfTOGOlkkqTFTARe03QA,"Albinoni---Vivaldi---Pachelbel---Walter-Rinaldi---Mozart---Mendelssohn---Wagner:-Adagio,-Air-on-the-G-String,-Paris-Concerto,-Guitar-Concerto,-Canon-in-D,-Orchestral,-Piano-and-Organ-Works","image-data/classical/Albinoni---Vivaldi---Pachelbel---Walter-Rinaldi---Mozart---Mendelssohn---Wagner:-Adagio,-Air-on-the-G-String,-Paris-Concerto,-Guitar-Concerto,-Canon-in-D,-Orchestral,-Piano-and-Organ-Works-Albinoni-Orchestra.jpg",Albinoni-Orchestra,6RslTL9SzJqXakMWKI3ocl,"Piano-Sonata-No.-11-in-A-Major,-K331-""Turkish-March"":-III.-Rondò:-Alla-Turca",33,False,0.647,0.42200000000000004,9,-15.642000000000001,1,0.935,0.0434,classical
0fLhefnjlIV3pGNF9Wo8CD,Californication,image-data/alternative/Californication-Red-Hot-Chili-Peppers.jpg,Red-Hot-Chili-Peppers,2QOMGq8wVTZbLmh7McrvgF,Scar-Tissue,59,False,0.43700000000000006,0.7170000000000001,0,-4.803,1,0.547,0.039,alternative
3WH2ZpwBApxjDMQf3tEArm,Living-Proof,image-data/blues/Living-Proof-Buddy-Guy.jpg,Buddy-Guy,48z2rCxqFdlMejXthnbCkX,Stay-Around-A-Little-Longer-(feat.-B.B.-King),32,False,0.34700000000000003,0.466,10,-6.6129999999999995,1,0.321,0.0309,blues
0y79HnVGwEtybfIcfD6M7N,I-Am-The-Blues,image-data/blues/I-Am-The-Blues-Willie-Dixon.jpg,Willie-Dixon,3knwd2whi9QUViKgWCsixF,The-Little-Red-Rooster,34,False,0.47700000000000004,0.29,4,-18.066,1,0.727,0.0374,blues
2wFl2VCAHpU7eGqhwoF2Ye,Break-Her-Heart,image-data/pop/Break-Her-Heart-Maia-Wright.jpg,Maia-Wright,0dN4xcgktuAmQNGaPQR5Fz,Break-Her-Heart,58,False,0.782,0.589,3,-5.2620000000000005,0,0.6940000000000001,0.0351,pop
4WvieX96tzcCZlGI8CEDdW,Autonomy-EP,image-data/edm/Autonomy-EP-Bklava.jpg,Bklava,6XxLyQcf5medRSvuMo2B50,Leave,43,False,0.68,0.55,7,-5.586,0,0.233,0.0348,edm
1Y4UGqQjoSr2lSs8ACyHTs,What's-Coming-To-Me,image-data/rock/What's-Coming-To-Me-Dorothy.jpg,Dorothy,22M7aCQ5lhKlkQ3Yabj0Va,What's-Coming-To-Me,53,False,0.685,0.7879999999999999,7,-6.25,0,0.7040000000000001,0.0279,rock
