album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,key,loudness,modality,energy,valence,speechiness,genre,rgb,color-name,color-hex
2yuA6JcakppoD7xbiJmOix,Critically-Ashamed,image-data/alternative/Critically-Ashamed-FM-Static.jpg,FM-Static,4BodkdQk2Ouo6BFbLqoWtG,Tonight,61,False,0.598,10,-5.93,0,0.547,0.25,0.0232,alternative,"(16.658356940509922, 12.05354107648725, 11.099312019425335)",black,#100c0b
4OHIhLk0uyYAdmoBD8IjMI,Together,image-data/kpop/Together-KYUHYUN.jpg,KYUHYUN,3TDGIHf1Mdxat9VftcIVZ0,Together,47,False,0.745,7,-4.001,1,0.748,0.754,0.0285,kpop,"(226.8911757394979, 221.08416604523987, 200.526373353219)",gainsboro,#e2ddc8
6UoogtxQKYcCSgrinm8ZFt,Tonight-You-Just-Might,image-data/country/Tonight-You-Just-Might-Kason-Lester.jpg,Kason-Lester,0JSHHHwKGXsXcTflZKiJ3t,Tonight-You-Just-Might,30,False,0.534,6,-5.5760000000000005,1,0.799,0.354,0.031,country,"(43.49697646292678, 34.14368778491023, 24.617824913945483)",black,#2b2218
57BGq6lpz8RK1cqr2fPVIi,La-Player-(Bandolera),image-data/latin/La-Player-(Bandolera)-Zion-&-Lennox.jpg,Zion-&-Lennox,0VKkyBKCXyR99navhVRqcP,La-player-(Bandolera),73,False,0.769,2,-5.2379999999999995,1,0.838,0.602,0.0633,latin,"(38.38436140459913, 23.651996581727783, 14.92483685518956)",black,#26170e
0ks45m1bsP2JsZpM5D2FFA,Hail-to-the-King,image-data/metal/Hail-to-the-King-Avenged-Sevenfold.jpg,Avenged-Sevenfold,5anCkDvJ17aznvK5TED5uo,Hail-to-the-King,75,False,0.58,3,-4.3580000000000005,0,0.9159999999999999,0.6829999999999999,0.0387,metal,"(1.2907600445299041, 1.2907600445299041, 1.2907600445299041)",black,#010101
5TjDN2hfsgNWVtP8Ew56Xx,Desperate-Man,image-data/country/Desperate-Man-Eric-Church.jpg,Eric-Church,1vHeu2j2MpfMqqvcXKLtic,Desperate-Man,56,False,0.711,10,-5.87,1,0.7959999999999999,0.9009999999999999,0.0341,country,"(143.6671457403217, 217.9448045991071, 241.51954008929118)",skyblue,#8fd9f1
2nnI1qx6N43Hyr8TbLmblC,Ain't-No-Sunshine---My-One-and-Only-Love,image-data/jazz/Ain't-No-Sunshine---My-One-and-Only-Love-Karen-Souza.jpg,Karen-Souza,6d3m5JM3OgVPI7GD7T5MYR,My-One-and-Only-Love,50,False,0.669,9,-12.294,1,0.297,0.22899999999999998,0.0284,jazz,"(104.61810819229572, 92.81154604921608, 76.85183262381892)",dimgray,#685c4c
3rxF05Aux0QTrN533Kjc91,Ace-of-Spades-(Expanded-Edition),image-data/rock/Ace-of-Spades-(Expanded-Edition)-Motörhead.jpg,Motörhead,6EPRKhUOdiFSQwGBRBbvsZ,Ace-of-Spades,74,False,0.32899999999999996,3,-8.77,0,0.9740000000000001,0.23399999999999999,0.135,rock,"(232.78071062043227, 219.90347535375525, 185.44829730990517)",wheat,#e8dbb9
6C2idPxvNBwM2DB4TEChsS,My-Worst-Disease,image-data/heavy-metal/My-Worst-Disease-Acts-of-Tragedy.jpg,Acts-of-Tragedy,4HJukBOVKo10E5lxzof6E0,My-Worst-Disease,19,False,0.38799999999999996,6,-4.224,1,0.975,0.506,0.152,heavy-metal,"(7.09819505691724, 11.389344682596658, 15.536252692031589)",black,#070b0f
6Cvv0qNSdZNf9o0j8EohoD,La-Sexorcisto:-Devil-Music-Volume-1,image-data/heavy-metal/La-Sexorcisto:-Devil-Music-Volume-1-White-Zombie.jpg,White-Zombie,5x8YLkZvKQDmZsD4cnCO06,Welcome-To-Planet-Motherfucker--Psychoholic-Slag,47,True,0.47200000000000003,11,-12.536,1,0.7829999999999999,0.18600000000000003,0.11,heavy-metal,"(101.21581694990559, 43.02760191047429, 94.23614350771963)",darkslateblue,#652b5e
7v0pFPnfFlTIiXxWXQipYZ,You're-here-with-Rain-비-오는-날이-좋아질-것-같아-(With-Chamsom),image-data/kpop/You're-here-with-Rain-비-오는-날이-좋아질-것-같아-(With-Chamsom)-saevom.jpg,saevom,3sHe6Zqj9BVYqNHmV8YvOx,You're-here-with-Rain-비-오는-날이-좋아질-것-같아-(With-Chamsom),0,False,0.649,2,-7.202000000000001,1,0.486,0.574,0.0268,kpop,"(153.86811706366268, 192.49938372459656, 202.81285292515844)",lightsteelblue,#99c0ca
3283AcxPjIXlPWsWsd4Kx2,Someone-Who-Cares,image-data/jazz/Someone-Who-Cares-Franz-Gordon.jpg,Franz-Gordon,3EZr7QTQPnvkgTRZVUyy9B,I-Fly-With-You,45,False,0.56,5,-16.312,1,0.235,0.214,0.0302,jazz,"(36.894218646815155, 28.34426967641232, 28.636008885153387)",black,#241c1c
6AZv3m27uyRxi8KyJSfUxL,Pablo-Honey-(Collector's-Edition),image-data/alternative/Pablo-Honey-(Collector's-Edition)-Radiohead.jpg,Radiohead,3HfB5hBU0dmBt8T0iCmH42,Creep,0,True,0.532,7,-13.057,1,0.344,0.126,0.035,alternative,"(223.7004786450663, 189.95066273932247, 74.97723367697594)",sandybrown,#dfbd4a
5Abc3wXAy8U1f79eVn7AGd,Careless-Love,image-data/jazz/Careless-Love-Madeleine-Peyroux.jpg,Madeleine-Peyroux,5zmRnxJCiY2kqrWd28bBnd,J'ai-Deux-Amours,53,False,0.502,0,-9.997,1,0.226,0.266,0.0364,jazz,"(151.48403739477868, 151.27530160207917, 149.38523604484269)",darkgray,#979795
78bpIziExqiI9qztvNFlQu,AM,image-data/alternative/AM-Arctic-Monkeys.jpg,Arctic-Monkeys,5FVd6KXrgO9B3JPmC8OPst,Do-I-Wanna-Know?,84,False,0.5479999999999999,5,-7.596,1,0.532,0.405,0.0323,alternative,"(9.69234186515395, 17.183525270819807, 19.05122509653829)",black,#091113
012FDe5q7Af7H9dy47DjVJ,Perfect-World,image-data/kpop/Perfect-World-TWICE.jpg,TWICE,0hpYo5x9iNMGz52fRrflbT,Perfect-World,74,False,0.684,3,-2.322,0,0.877,0.599,0.0611,kpop,"(64.14162935515414, 31.433765632237147, 19.015902423961712)",maroon,#401f13
